E01293	R00057	E01889
E01186	R00030	E00174
E00211	R00011	E01006
E00605	R00051	E00116
E00625	R00067	E01383
E01611	R00022	E01974
E01545	R00022	E00651
E00237	R00062	E00533
E00940	R00007	E00503
E01498	R00047	E01962
E00412	R00050	E01936
E01824	R00075	E01910
E01488	R00021	E01234
E00492	R00079	E01120
E00227	R00079	E01354
E00727	R00014	E01020
E00187	R00081	E00302
E00373	R00055	E01446
E01779	R00076	E01821
E00229	R00076	E00971
E01652	R00023	E01222
E00320	R00043	E00313
E01029	R00045	E01159
E00684	R00045	E01259
E01935	R00052	E00065
E00179	R00080	E01094
E00774	R00068	E00726
E01946	R00015	E01858
E00795	R00047	E01310
E01129	R00047	E00725
E01546	R00026	E01936
E01388	R00084	E01668
E00794	R00061	E00003
E01424	R00022	E00475
E00376	R00046	E01828
E00561	R00009	E00859
E01481	R00082	E01120
E00130	R00011	E01209
E00032	R00084	E00746
E00599	R00043	E00782
E01757	R00010	E01236
E01827	R00023	E00861
E01493	R00063	E00432
E01718	R00047	E01924
E01125	R00079	E00054
E01942	R00061	E00883
E00444	R00018	E01127
E00600	R00052	E01370
E01417	R00073	E00277
E01562	R00023	E01692
E00461	R00021	E00108
E00980	R00038	E01089
E00955	R00012	E01815
E00075	R00047	E01011
E01785	R00063	E01530
E01712	R00011	E00825
E01753	R00002	E00377
E00646	R00022	E00264
E00250	R00023	E00863
E01475	R00079	E01452
E00456	R00022	E00880
E01886	R00071	E00886
E00319	R00033	E00543
E00553	R00040	E01684
E01542	R00010	E00348
E00540	R00014	E00679
E01846	R00079	E01802
E01831	R00068	E00458
E01657	R00058	E00847
E01270	R00036	E00395
E01354	R00040	E00374
E01346	R00016	E01478
E00313	R00021	E01303
E01007	R00046	E01398
E01072	R00040	E01632
E00538	R00013	E01001
E01510	R00075	E00527
E01770	R00003	E00248
E00874	R00052	E01797
E00243	R00037	E01653
E00001	R00040	E00331
E00741	R00032	E00331
E00880	R00081	E01423
E01772	R00083	E00232
E01267	R00039	E00966
E00094	R00038	E00654
E00077	R00047	E01683
E00191	R00037	E00712
E00944	R00023	E00474
E01669	R00016	E00153
E01152	R00040	E01875
E01567	R00082	E00648
E00976	R00075	E00460
E00273	R00082	E01133
E00031	R00039	E00834
E00385	R00037	E01589
E01507	R00069	E01684
E00703	R00028	E00582
E00849	R00021	E00080
E00228	R00067	E00371
E01705	R00026	E00087
E00665	R00034	E00856
E00877	R00083	E00945
E01933	R00006	E00148
E01432	R00084	E01107
E01915	R00036	E00321
E00362	R00001	E01252
E00149	R00068	E01578
E00194	R00048	E01945
E01489	R00040	E01703
E01673	R00043	E00070
E00486	R00025	E01498
E01906	R00002	E00775
E01694	R00042	E00297
E01962	R00047	E01498
E01912	R00009	E00285
E01760	R00033	E00848
E00655	R00042	E00668
E00505	R00045	E01178
E01121	R00044	E00290
E01341	R00063	E01586
E01645	R00036	E01698
E00829	R00030	E01245
E01253	R00021	E01992
E00277	R00047	E00247
E00374	R00076	E01097
E01476	R00050	E01229
E01860	R00012	E01370
E01273	R00040	E00738
E00708	R00011	E01668
E00697	R00047	E01671
E00740	R00040	E01685
E01938	R00002	E01441
E01977	R00085	E01996
E00784	R00079	E01569
E00127	R00047	E01506
E01642	R00085	E01349
E01613	R00077	E00861
E01242	R00042	E01627
E01522	R00025	E00813
E00837	R00045	E01771
E00519	R00045	E00845
E01830	R00015	E00570
E00437	R00081	E00319
E00834	R00020	E01863
E01145	R00077	E00868
E01299	R00085	E01911
E00729	R00076	E01180
E01842	R00075	E00797
E01487	R00022	E00343
E01259	R00040	E01412
E01640	R00073	E01396
E00238	R00037	E00086
E01212	R00010	E01974
E00545	R00061	E01217
E00523	R00084	E00502
E01053	R00042	E00329
E01099	R00084	E00450
E01292	R00059	E01409
E00515	R00038	E01787
E00995	R00079	E01186
E01550	R00085	E00165
E00004	R00027	E01988
E00851	R00002	E00567
E00289	R00030	E00423
E01578	R00068	E00149
E01418	R00068	E00552
E01046	R00055	E01884
E00685	R00002	E00733
E01952	R00032	E00483
E00777	R00011	E00400
E00678	R00003	E01533
E00262	R00014	E01529
E01375	R00063	E01949
E01375	R00025	E00825
E00786	R00050	E00237
E00911	R00082	E00220
E00142	R00022	E01722
E00057	R00047	E00362
E01904	R00045	E00545
E01999	R00025	E01580
E01809	R00055	E00949
E00385	R00079	E01849
E01340	R00084	E01173
E00786	R00034	E00820
E00427	R00003	E01374
E00989	R00076	E01759
E00582	R00041	E01097
E01252	R00055	E00890
E01362	R00047	E00513
E01565	R00082	E01284
E01328	R00015	E01375
E00937	R00065	E01049
E00664	R00017	E01704
E00677	R00039	E01825
E01022	R00023	E00084
E01074	R00050	E01014
E01870	R00030	E00716
E00358	R00033	E01251
E01640	R00084	E00450
E01686	R00026	E00595
E00259	R00030	E00466
E00571	R00041	E01498
E01852	R00002	E01002
E01869	R00055	E01741
E00586	R00079	E01187
E00963	R00011	E00901
E01485	R00069	E00470
E01767	R00042	E00519
E01052	R00042	E00236
E00981	R00002	E00451
E00359	R00041	E01471
E00545	R00011	E00661
E00565	R00042	E01758
E00058	R00061	E00673
E00108	R00021	E00461
E00257	R00069	E01349
E01176	R00040	E01524
E01575	R00050	E00290
E00487	R00039	E01852
E00840	R00047	E01739
E01977	R00072	E00888
E00176	R00045	E01434
E00971	R00076	E00229
E01665	R00041	E01080
E01887	R00040	E00851
E01998	R00024	E00644
E00381	R00030	E00769
E01237	R00011	E01713
E01248	R00047	E01533
E00603	R00050	E00136
E00645	R00043	E01033
E01286	R00063	E00840
E00960	R00018	E01169
E00767	R00084	E00755
E01764	R00075	E00190
E01205	R00001	E01432
E01803	R00068	E00994
E00483	R00021	E01373
E00324	R00052	E00874
E00609	R00052	E01091
E01911	R00012	E00002
E00201	R00023	E00572
E01283	R00007	E00403
E01435	R00010	E01349
E01271	R00020	E01206
E00694	R00075	E00626
E01748	R00007	E01042
E00150	R00003	E00697
E01842	R00078	E01346
E01779	R00058	E01839
E00002	R00050	E00151
E00558	R00026	E00920
E00378	R00038	E01532
E01760	R00079	E00203
E01553	R00068	E00484
E01171	R00084	E00819
E01383	R00058	E01622
E01811	R00040	E00985
E00151	R00020	E01777
E00813	R00063	E01235
E00462	R00025	E01493
E00619	R00015	E01458
E01780	R00052	E00795
E01800	R00051	E01140
E01000	R00014	E01196
E01562	R00075	E00677
E01553	R00012	E00922
E01064	R00015	E00823
E01080	R00062	E00979
E01906	R00041	E01130
E01749	R00064	E01970
E00489	R00034	E01471
E01943	R00016	E00795
E00122	R00047	E00306
E01423	R00012	E01040
E00349	R00075	E00207
E01953	R00063	E01629
E01132	R00034	E00732
E01432	R00001	E01205
E00953	R00084	E00636
E00292	R00058	E01757
E00655	R00061	E00190
E01290	R00064	E01673
E00240	R00084	E00913
E01099	R00024	E00127
E00699	R00027	E01515
E01815	R00028	E01708
E01640	R00037	E00536
E01379	R00044	E00762
E01451	R00023	E00637
E00255	R00041	E01897
E01969	R00043	E01949
E00788	R00034	E00674
E00616	R00064	E01965
E01654	R00006	E00580
E01727	R00037	E00715
E01580	R00025	E01999
E01325	R00068	E01712
E00016	R00079	E00169
E00378	R00052	E00045
E01386	R00022	E00995
E01589	R00081	E00348
E00380	R00068	E00208
E01448	R00011	E01586
E00502	R00013	E00637
E01597	R00026	E01460
E01226	R00026	E01013
E00525	R00063	E01924
E00477	R00052	E01712
E01907	R00018	E01234
E00081	R00060	E00458
E00600	R00027	E01699
E00433	R00023	E00627
E01795	R00036	E00380
E00348	R00043	E01318
E00513	R00047	E01362
E00899	R00015	E01884
E01528	R00045	E00205
E01767	R00084	E01555
E01445	R00077	E00962
E00217	R00022	E00622
E00919	R00040	E00836
E00890	R00040	E01206
E01981	R00040	E01558
E00581	R00084	E01345
E01166	R00050	E01403
E00333	R00052	E00461
E01401	R00063	E01168
E01066	R00060	E00874
E00639	R00055	E01772
E01167	R00023	E00040
E01391	R00082	E00592
E01379	R00061	E00701
E00154	R00032	E00546
E00883	R00015	E00689
E01781	R00015	E00064
E01040	R00034	E00699
E01987	R00043	E01790
E01428	R00021	E00288
E01883	R00012	E01755
E00811	R00084	E00834
E01576	R00058	E01984
E00283	R00011	E00881
E00907	R00055	E00839
E00816	R00042	E01016
E00218	R00075	E00613
E00214	R00050	E01725
E00116	R00050	E01376
E01754	R00011	E00938
E00338	R00032	E01977
E00007	R00055	E01060
E01289	R00003	E01631
E01907	R00012	E00218
E01578	R00045	E00591
E01825	R00007	E01558
E00830	R00052	E00725
E01278	R00042	E00420
E00534	R00079	E01693
E00049	R00055	E00982
E01807	R00038	E01423
E00441	R00079	E01235
E01520	R00050	E00666
E01487	R00042	E01956
E01795	R00013	E00128
E00576	R00042	E00915
E01991	R00073	E01421
E01470	R00061	E00867
E01513	R00073	E01398
E01523	R00050	E01817
E00123	R00015	E01449
E01224	R00040	E01790
E01897	R00047	E01360
E00778	R00015	E01770
E00842	R00079	E00304
E00729	R00079	E01795
E00743	R00064	E01165
E00286	R00063	E00684
E00088	R00017	E01440
E01204	R00054	E00607
E00792	R00058	E01255
E01480	R00076	E01503
E01235	R00077	E01662
E01396	R00073	E01640
E01690	R00015	E01485
E00652	R00055	E01539
E01275	R00079	E00972
E01889	R00002	E01927
E00103	R00016	E01561
E01294	R00043	E01354
E01667	R00055	E01476
E01533	R00042	E01380
E00787	R00013	E00814
E01313	R00063	E01188
E00902	R00052	E00373
E01680	R00026	E01586
E01080	R00061	E01588
E01400	R00050	E01071
E01269	R00007	E00173
E00764	R00011	E00267
E00018	R00035	E01491
E00850	R00082	E00766
E00929	R00079	E01839
E01750	R00038	E01181
E00961	R00068	E01741
E01993	R00063	E01629
E00637	R00020	E01608
E00133	R00044	E01826
E01598	R00019	E01625
E01831	R00012	E01356
E01700	R00025	E01812
E01751	R00026	E01641
E00334	R00015	E00691
E01076	R00034	E01399
E01844	R00000	E00867
E00649	R00023	E01994
E01699	R00083	E01071
E00639	R00084	E01085
E00986	R00025	E00258
E00552	R00013	E00494
E00065	R00050	E00503
E01822	R00011	E00879
E01318	R00040	E01954
E01166	R00043	E00955
E00898	R00044	E01554
E01760	R00074	E01335
E00968	R00042	E01762
E00027	R00052	E01368
E01891	R00043	E01819
E00079	R00016	E01861
E00652	R00071	E01299
E00118	R00052	E00105
E01223	R00002	E01307
E01481	R00048	E00375
E00175	R00052	E00986
E01084	R00075	E01273
E00204	R00031	E00162
E00975	R00068	E01623
E00938	R00079	E01600
E00561	R00043	E01984
E01865	R00065	E01455
E01853	R00014	E01190
E01658	R00055	E01489
E00062	R00047	E01718
E01075	R00046	E01962
E00747	R00011	E01468
E01162	R00011	E00743
E00268	R00017	E00304
E00165	R00051	E00385
E01120	R00052	E01169
E00131	R00081	E00429
E01445	R00052	E00200
E01869	R00037	E01567
E00510	R00037	E00456
E00377	R00084	E00540
E01167	R00015	E01108
E00991	R00002	E01241
E01838	R00031	E01171
E01660	R00011	E00873
E01859	R00063	E01871
E00650	R00076	E00224
E00592	R00038	E00331
E01159	R00075	E01398
E01892	R00014	E00469
E00218	R00015	E00340
E00109	R00052	E01830
E01503	R00030	E00354
E00489	R00025	E01727
E00567	R00034	E01844
E00133	R00068	E00496
E00064	R00078	E01538
E01074	R00011	E01982
E01898	R00063	E00542
E01438	R00014	E01718
E01219	R00046	E00519
E00031	R00038	E01642
E00628	R00042	E01134
E00383	R00078	E01853
E00963	R00041	E01486
E01367	R00040	E01462
E01191	R00031	E01087
E00252	R00082	E01096
E01128	R00061	E01984
E01334	R00025	E00313
E00390	R00012	E00903
E01205	R00050	E01761
E01824	R00007	E00133
E01048	R00061	E01342
E00325	R00051	E00172
E00836	R00084	E01819
E00981	R00071	E00034
E00750	R00015	E00158
E00955	R00016	E01573
E01954	R00042	E00330
E00536	R00040	E01974
E01401	R00063	E01309
E01304	R00015	E00123
E01831	R00084	E00001
E01416	R00043	E01369
E01990	R00014	E00065
E01093	R00023	E01277
E00095	R00034	E01536
E00747	R00002	E01036
E01230	R00010	E01129
E01966	R00011	E01387
E00602	R00040	E01054
E01753	R00051	E00835
E00958	R00012	E01759
E01456	R00040	E00182
E01212	R00061	E00743
E00723	R00012	E01320
E00086	R00063	E00299
E00248	R00036	E01864
E00190	R00023	E00728
E01795	R00044	E00753
E00114	R00040	E01548
E01826	R00002	E00846
E01920	R00084	E01021
E00616	R00066	E01326
E00514	R00014	E00531
E01364	R00002	E00241
E01109	R00030	E00974
E01912	R00076	E00870
E00938	R00066	E00525
E01434	R00079	E01369
E01611	R00029	E00288
E00669	R00051	E00367
E01694	R00016	E00360
E00288	R00021	E00719
E01618	R00024	E01992
E00537	R00076	E00956
E01148	R00018	E00157
E00041	R00082	E00669
E00251	R00047	E00511
E01485	R00024	E01823
E00877	R00022	E01038
E01443	R00011	E01696
E01712	R00002	E01883
E00916	R00068	E01101
E00663	R00064	E00769
E00159	R00084	E01593
E00810	R00075	E00050
E01423	R00033	E01954
E00899	R00043	E01875
E01957	R00010	E01498
E01828	R00040	E01491
E01897	R00084	E01242
E00931	R00035	E01545
E01323	R00014	E01459
E00898	R00081	E00626
E01758	R00042	E00565
E00419	R00000	E00342
E00923	R00041	E01827
E00254	R00064	E01200
E01669	R00062	E00360
E00362	R00047	E00057
E01057	R00040	E00763
E01771	R00012	E01116
E01943	R00045	E01396
E01271	R00026	E01967
E00073	R00054	E01931
E01400	R00079	E01461
E01924	R00079	E01400
E01423	R00081	E01465
E01786	R00079	E00931
E00405	R00031	E00840
E01393	R00075	E01132
E00371	R00076	E01199
E01148	R00045	E01305
E01744	R00082	E01316
E01964	R00054	E00765
E01915	R00038	E00959
E01696	R00045	E01352
E00631	R00076	E00904
E00135	R00007	E01352
E00181	R00009	E01219
E01821	R00013	E01758
E00796	R00032	E00630
E00418	R00044	E01340
E01109	R00035	E01274
E00151	R00076	E00822
E00178	R00011	E00896
E01934	R00043	E00676
E01110	R00076	E01672
E01884	R00083	E01676
E00525	R00044	E00516
E01145	R00030	E01230
E01228	R00041	E00044
E00067	R00039	E01315
E01605	R00014	E01164
E01154	R00068	E01737
E01107	R00038	E01983
E01941	R00038	E01203
E00732	R00039	E00970
E01407	R00042	E01366
E00648	R00064	E00503
E01299	R00042	E01108
E00507	R00058	E01180
E00156	R00084	E00238
E00423	R00002	E01673
E01927	R00075	E01019
E00431	R00025	E00031
E00587	R00026	E00082
E01871	R00025	E01040
E01450	R00075	E01932
E01780	R00022	E01940
E00202	R00068	E01527
E01614	R00043	E00036
E01767	R00084	E00528
E00386	R00026	E01640
E00224	R00061	E00178
E01886	R00050	E00678
E00778	R00055	E01180
E01612	R00033	E01580
E00205	R00076	E01309
E00535	R00084	E01748
E01433	R00031	E00093
E01999	R00050	E01259
E01636	R00040	E01953
E01365	R00084	E01783
E00681	R00026	E01462
E01736	R00047	E00172
E00729	R00025	E00642
E00698	R00039	E00728
E01931	R00077	E00649
E00001	R00022	E00551
E00144	R00040	E00363
E01161	R00054	E01394
E01041	R00045	E01811
E01320	R00042	E01559
E01693	R00050	E01701
E01876	R00025	E01689
E01143	R00041	E00265
E00076	R00034	E01658
E00457	R00073	E00112
E01466	R00082	E00039
E01178	R00042	E00166
E00362	R00041	E00161
E01645	R00016	E00984
E01474	R00075	E00494
E00378	R00064	E01430
E01184	R00023	E01217
E01591	R00043	E00613
E01021	R00034	E00523
E00098	R00007	E01685
E00119	R00055	E00851
E01334	R00042	E00104
E00853	R00037	E01584
E00587	R00079	E01445
E01383	R00067	E00625
E00005	R00034	E01341
E01966	R00014	E01465
E00002	R00012	E01911
E01606	R00015	E00918
E00600	R00058	E01725
E00565	R00084	E00919
E01360	R00042	E01800
E01849	R00064	E01798
E00289	R00079	E01388
E01399	R00047	E00802
E01863	R00002	E00980
E01545	R00031	E00621
E01405	R00037	E00079
E00657	R00043	E00426
E00379	R00043	E00008
E00913	R00076	E00589
E00753	R00044	E01795
E00602	R00076	E00857
E01752	R00022	E00136
E01270	R00076	E01719
E01868	R00018	E01705
E01308	R00002	E00353
E01823	R00007	E00126
E01230	R00044	E00577
E00915	R00042	E00576
E00430	R00003	E01529
E01074	R00043	E01056
E00651	R00064	E01211
E01543	R00002	E00603
E00472	R00015	E00230
E01767	R00044	E00790
E00612	R00085	E01617
E00831	R00075	E01840
E00149	R00069	E01511
E01717	R00031	E00323
E01532	R00037	E01443
E01537	R00042	E01050
E01643	R00055	E01225
E01176	R00039	E00548
E00731	R00012	E00513
E01112	R00081	E01819
E00048	R00047	E00214
E01145	R00076	E01168
E01997	R00082	E00816
E00962	R00029	E01567
E01290	R00039	E01724
E01735	R00084	E00621
E01146	R00034	E01207
E01281	R00007	E00263
E01037	R00021	E01665
E01446	R00062	E01708
E00143	R00046	E00670
E01412	R00052	E00683
E01413	R00048	E01154
E01356	R00079	E00673
E00251	R00085	E00855
E00406	R00023	E01253
E01936	R00050	E00412
E00818	R00038	E00533
E01687	R00084	E00366
E00672	R00020	E00104
E01962	R00034	E00286
E01849	R00084	E00165
E00315	R00063	E01371
E00510	R00034	E01862
E01288	R00026	E01458
E00528	R00018	E01917
E00577	R00045	E01129
E00521	R00062	E01627
E00592	R00007	E00970
E00804	R00073	E01896
E01436	R00015	E01264
E01515	R00077	E01228
E01173	R00066	E00639
E00902	R00082	E01665
E00409	R00038	E01194
E01139	R00034	E01345
E00258	R00082	E01069
E00538	R00042	E00827
E01791	R00042	E01509
E00804	R00031	E00294
E01774	R00038	E01041
E01349	R00050	E00305
E00932	R00073	E01559
E01409	R00062	E01715
E01289	R00084	E01142
E00110	R00073	E01526
E01089	R00084	E01565
E00774	R00059	E00495
E00521	R00014	E01235
E01574	R00025	E00157
E00545	R00008	E01426
E01157	R00061	E01002
E00813	R00022	E00593
E01110	R00060	E01737
E00446	R00031	E00127
E00292	R00020	E01076
E00469	R00023	E01948
E00499	R00039	E00374
E00412	R00052	E00901
E01444	R00079	E01330
E00730	R00009	E01488
E00621	R00075	E01113
E00086	R00002	E00094
E00880	R00022	E00456
E00560	R00058	E01214
E00427	R00022	E00122
E00680	R00008	E01734
E01008	R00047	E00719
E01184	R00042	E00804
E01197	R00026	E01825
E00397	R00045	E01860
E01380	R00081	E00339
E01701	R00044	E01087
E01667	R00044	E01542
E00041	R00038	E00155
E01494	R00050	E00159
E00753	R00040	E00927
E01965	R00007	E00306
E01004	R00084	E00548
E00198	R00003	E00304
E00536	R00015	E00634
E00250	R00044	E01700
E01529	R00020	E00645
E01425	R00010	E01482
E01554	R00014	E00671
E00214	R00012	E01277
E00961	R00044	E01341
E01705	R00018	E01868
E01757	R00034	E01000
E01011	R00071	E00024
E00495	R00043	E01646
E01878	R00082	E01736
E01961	R00051	E01993
E01812	R00026	E00873
E00757	R00038	E00574
E00925	R00011	E01964
E01468	R00054	E00248
E01499	R00043	E00129
E00866	R00055	E01097
E01363	R00043	E00334
E00608	R00063	E00796
E01603	R00011	E00863
E00418	R00051	E01445
E01159	R00012	E00599
E00662	R00055	E00130
E00570	R00058	E01801
E01259	R00007	E00342
E00634	R00050	E01994
E00312	R00064	E01390
E01080	R00055	E01233
E00597	R00061	E01219
E00884	R00036	E01517
E01055	R00050	E00423
E00184	R00023	E01228
E00652	R00047	E00027
E00233	R00042	E01554
E00911	R00025	E01258
E01756	R00082	E01026
E01797	R00076	E01778
E01158	R00082	E00370
E00609	R00040	E00508
E01765	R00055	E00978
E00787	R00042	E01696
E00943	R00025	E01761
E00430	R00023	E01919
E00246	R00037	E01308
E00073	R00043	E00234
E01830	R00038	E01429
E01985	R00038	E01752
E01173	R00015	E01263
E01613	R00046	E00891
E00263	R00073	E01338
E00780	R00054	E01394
E01040	R00037	E00377
E00215	R00028	E00723
E00204	R00043	E00018
E00314	R00014	E00071
E00307	R00037	E00946
E01307	R00038	E01683
E01045	R00046	E01332
E00548	R00054	E01099
E01734	R00008	E00680
E00549	R00079	E00127
E01233	R00026	E01494
E01733	R00012	E01237
E00014	R00076	E01462
E01132	R00061	E01499
E01630	R00040	E00613
E01841	R00002	E00071
E00484	R00082	E00224
E01515	R00040	E00168
E00040	R00084	E01466
E01423	R00075	E00660
E00259	R00015	E00721
E00196	R00033	E00892
E00212	R00050	E01778
E01070	R00002	E00028
E00771	R00038	E01910
E00470	R00038	E01866
E01380	R00050	E01471
E00743	R00084	E01397
E01289	R00063	E00032
E01106	R00050	E01900
E01771	R00043	E01810
E00061	R00050	E00725
E00987	R00084	E00755
E00428	R00023	E00721
E00595	R00050	E01438
E00276	R00023	E01302
E00761	R00061	E00652
E01913	R00034	E00558
E01634	R00038	E00469
E01354	R00050	E01603
E01241	R00015	E00343
E00264	R00018	E01367
E00842	R00076	E01010
E00556	R00038	E01908
E00744	R00076	E00901
E01412	R00034	E01415
E00131	R00022	E00173
E00768	R00062	E00283
E01390	R00023	E00141
E00337	R00015	E01322
E00882	R00038	E00125
E00435	R00069	E01054
E01166	R00084	E00256
E01348	R00043	E00420
E00613	R00040	E00781
E01883	R00003	E01478
E00845	R00076	E01033
E01112	R00061	E00530
E01168	R00082	E00083
E01310	R00042	E01527
E01376	R00050	E00116
E01527	R00042	E00673
E00762	R00059	E01684
E01571	R00066	E00082
E01351	R00052	E01485
E01320	R00068	E00019
E00504	R00081	E01401
E01617	R00038	E01202
E00944	R00039	E01301
E00182	R00073	E00480
E01949	R00038	E01048
E00646	R00025	E01519
E00929	R00050	E01032
E00192	R00040	E00451
E01946	R00025	E00731
E00716	R00079	E00299
E01883	R00075	E01872
E01919	R00082	E00242
E01549	R00039	E00039
E00182	R00085	E01343
E00763	R00055	E01103
E00168	R00068	E00424
E01462	R00019	E00223
E00781	R00061	E01785
E01539	R00028	E01978
E00989	R00052	E01504
E00958	R00055	E01748
E00918	R00082	E00207
E01285	R00028	E00988
E01033	R00051	E00927
E01518	R00073	E01681
E00410	R00061	E01212
E01851	R00063	E00189
E01994	R00084	E01811
E01723	R00012	E01261
E00930	R00076	E00512
E01872	R00037	E01970
E01519	R00025	E00646
E01057	R00060	E00039
E01398	R00046	E01007
E01246	R00010	E01145
E01231	R00076	E01058
E01429	R00037	E01257
E00753	R00002	E01840
E01467	R00043	E01803
E00179	R00038	E00589
E01403	R00050	E01166
E01464	R00079	E00876
E01254	R00042	E01890
E01343	R00056	E00217
E00777	R00082	E01655
E01623	R00018	E01013
E01827	R00075	E01181
E00409	R00002	E00626
E00853	R00062	E00830
E00485	R00038	E00922
E00122	R00022	E00427
E00283	R00081	E00371
E01672	R00003	E01748
E00594	R00010	E01870
E00355	R00048	E00918
E01259	R00084	E00627
E01248	R00050	E00625
E00676	R00034	E01956
E00353	R00032	E01049
E00664	R00076	E01471
E00581	R00050	E01692
E00375	R00073	E00442
E01857	R00066	E01947
E01589	R00013	E00887
E01572	R00018	E01811
E01524	R00047	E00147
E01554	R00044	E01145
E00269	R00011	E01913
E01256	R00011	E01011
E00811	R00061	E00266
E01916	R00084	E01013
E01671	R00002	E00663
E01928	R00084	E01400
E01993	R00002	E00466
E01532	R00027	E00701
E01298	R00022	E00821
E00126	R00007	E01823
E00265	R00041	E01143
E01569	R00076	E00502
E00659	R00085	E00382
E00569	R00001	E00006
E01964	R00063	E00693
E01039	R00052	E01423
E00178	R00075	E00608
E00825	R00032	E00032
E00901	R00015	E01461
E01236	R00040	E01545
E00606	R00046	E00841
E00684	R00003	E01108
E01698	R00081	E00476
E01428	R00068	E00313
E00834	R00018	E00471
E00255	R00050	E00142
E00358	R00055	E00429
E00761	R00020	E01733
E00045	R00084	E01298
E01300	R00059	E00433
E00102	R00027	E01840
E00342	R00023	E00819
E01792	R00014	E01776
E00338	R00050	E00107
E01619	R00055	E00189
E00614	R00063	E01506
E01377	R00000	E01491
E01015	R00048	E00412
E01073	R00081	E01155
E01927	R00045	E01827
E01514	R00010	E00979
E01027	R00052	E01526
E00707	R00044	E00083
E01282	R00014	E01613
E01335	R00036	E00074
E01452	R00015	E01838
E00737	R00001	E01231
E00153	R00024	E01105
E01054	R00050	E00812
E00471	R00016	E00678
E00636	R00018	E01597
E00991	R00058	E00797
E00444	R00050	E00215
E01418	R00012	E00248
E00014	R00061	E01155
E01651	R00047	E00227
E00264	R00017	E00232
E00761	R00015	E01032
E00844	R00084	E01201
E00176	R00042	E00826
